Date,Open,High,Low,Close,TD Reference Close Up,TD Reference Close Down,0
24/11/17 21:00,162.88,162.88,162.88,162.88,162.9,162.83,0
24/11/17 19:00,162.88,162.88,162.85,162.87,,,0
24/11/17 17:00,162.89,162.92,162.86,162.88,162.9,,0
24/11/17 15:00,162.9,162.92,162.8,162.89,,162.83,0
24/11/17 13:00,162.85,162.95,162.84,162.9,,,0
24/11/17 11:00,162.84,162.91,162.79,162.85,,,0
24/11/17 09:00,162.83,162.93,162.67,162.84,,,0
24/11/17 07:00,162.98,163.03,162.78,162.83,,,0
23/11/17 21:00,163.06,163.06,163.06,163.06,,,0
23/11/17 19:00,163.06,163.06,163.02,163.04,,,0
23/11/17 17:00,163.09,163.11,163.05,163.05,,,0
23/11/17 15:00,163.03,163.09,163.02,163.08,,,0
23/11/17 13:00,162.99,163.04,162.96,163.02,,,0
23/11/17 11:00,163.06,163.08,162.97,162.99,,,0
23/11/17 09:00,162.98,163.09,162.94,163.06,,,0
23/11/17 07:00,163.01,163.11,162.89,162.98,,,0
22/11/17 21:00,163.12,163.12,163.12,163.12,,,0
22/11/17 19:00,163.05,163.13,163.04,163.13,,,0
22/11/17 17:00,163.07,163.08,163.03,163.05,,,0
22/11/17 15:00,162.87,163.08,162.86,163.07,,,0
22/11/17 13:00,162.92,163,162.85,162.87,,,0
22/11/17 11:00,162.7,162.95,162.68,162.93,,,0
22/11/17 09:00,162.99,163,162.61,162.69,,,0
22/11/17 07:00,163.22,163.3,162.98,162.98,,163.07,0
21/11/17 21:00,163.19,163.19,163.19,163.19,,,0
21/11/17 19:00,163.19,163.21,163.16,163.18,163.2,,0
21/11/17 17:00,163.07,163.19,163.03,163.19,,,0
21/11/17 15:00,163.13,163.19,163.03,163.07,,,0
21/11/17 13:00,163,163.24,162.98,163.14,163.2,,0
21/11/17 11:00,163.2,163.22,162.94,163,,,0
21/11/17 09:00,163.11,163.27,163.06,163.2,,,0
21/11/17 07:00,162.93,163.14,162.87,163.11,162.95,,0
20/11/17 21:00,162.87,162.87,162.87,162.87,,,0
20/11/17 19:00,162.86,162.92,162.86,162.87,,,0
20/11/17 17:00,162.93,162.94,162.86,162.86,,,0
20/11/17 15:00,162.94,163.02,162.9,162.93,,,0
20/11/17 13:00,162.95,163.06,162.87,162.94,,,0
20/11/17 11:00,162.96,163,162.86,162.95,,,0
20/11/17 09:00,162.87,163,162.84,162.95,162.91,162.84,0
20/11/17 07:00,163.08,163.16,162.83,162.86,,162.84,0
17/11/17 21:00,162.84,162.84,162.84,162.84,,,0
17/11/17 19:00,162.88,162.88,162.82,162.84,,,0
17/11/17 17:00,162.91,162.93,162.87,162.89,,,0
17/11/17 15:00,162.84,162.94,162.74,162.91,,,0
17/11/17 13:00,162.71,162.89,162.65,162.83,,,0
17/11/17 11:00,162.65,162.76,162.63,162.72,162.7,,0
17/11/17 09:00,162.55,162.65,162.5,162.65,,,0
17/11/17 07:00,162.75,162.78,162.53,162.55,,162.6,0
16/11/17 21:00,162.6,162.6,162.6,162.6,,,0
16/11/17 19:00,162.7,162.7,162.6,162.6,,,0
16/11/17 17:00,162.68,162.78,162.66,162.7,,,0
16/11/17 15:00,162.78,162.82,162.66,162.68,162.8,,0
16/11/17 13:00,162.55,162.82,162.55,162.78,162.8,,0
16/11/17 11:00,162.4,162.59,162.38,162.55,,,0
16/11/17 09:00,162.55,162.57,162.38,162.4,,,0
16/11/17 07:00,162.68,162.71,162.52,162.55,,162.66,0
15/11/17 21:00,162.8,162.8,162.8,162.8,,,0
